Organization,Active,License,UBI,Type,Address,Address Line 2,City,State,County,Zip,CreateDate,DayPhone
WALLA WALLA CANNABIS COMPANY,ACTIVE (ISSUED),415641,6.03359E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,927 W MAIN ST,,WALLA WALLA,WA,WALLA WALLA,993622746,20180206,5098764946
CARSON UNLIMITED,ACTIVE (ISSUED),415764,6.03262E+15,MARIJUANA PRODUCER TIER 3,13055 ROAD 2 NE UNIT 1,UNIT 1,MOSES LAKE,WA,GRANT,988379468,20180105,2067861526
CANNACARRY,ACTIVE (ISSUED),424637,6.01832E+15,MARIJUANA TRANSPORTATION,27602 N MONROE RD,UNIT T,DEER PARK,WA,SPOKANE,990065032,20171214,5094875500
SKAGIT AGRICULTURE,ACTIVE (ISSUED),419100,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,8531 POSTMA RD STE C,,MOXEE,WA,YAKIMA,989369317,20171220,2062271835
THE JOINT,ACTIVE (ISSUED),420801,6.03588E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,9574 OLD HWY 99 NORTH RD STE B,,BURLINGTON,WA,SKAGIT,982336811,20180222,3607550755
MONTGOMERY AVE GROWERS,ACTIVE (ISSUED),415924,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,26425 S RUPP RD  UNIT 5,,CHENEY,WA,SPOKANE,990040000,20180108,5099816270
MAS FARMS,ACTIVE (ISSUED),414232,6.03373E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,19003 SE 416TH ST  STE A,,ENUMCLAW,WA,KING,980229135,20180111,2533352521
GOLDEN TREE,ACTIVE (ISSUED),416107,6.03446E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2524 N MACHIAS RD,,LAKE STEVENS,WA,SNOHOMISH,982580000,20170929,4252203666
ELEMENT,ACTIVE (ISSUED),412134,6.03346E+15,MARIJUANA PRODUCER TIER 3,1199 W CUNNINGHAM RD,STE J,OTHELLO,WA,ADAMS,993449004,20171227,4259415373
HOAK GREEN,ACTIVE (ISSUED),417118,6.03318E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1502 CENTER ST,,TACOMA,WA,PIERCE,984097924,20170817,3604701678
CEDAR CREEK CANNABIS,ACTIVE (ISSUED),415971,6.03568E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5717 NE 121ST AVE,,VANCOUVER,WA,CLARK,986826284,20171230,3605139691
TRU GREENTHUMB,ACTIVE (ISSUED),421929,6.0356E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1350 ATLANTIC AVE,,WOODLAND,WA,COWLITZ,986748457,20180117,3607314157
GREENRUSH,ACTIVE (ISSUED),412295,6.03347E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,"3928 171ST AVE NE, STE A",,SNOHOMISH,WA,SNOHOMISH,982904468,20171130,3606314508
150 POUNDERS,ACTIVE (ISSUED),417134,6.02401E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,21037 BUCODA HWY SE,,CENTRALIA,WA,THURSTON,985319501,20170708,2534055065
GRASS,ACTIVE (ISSUED),414785,6.03328E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,14343 15TH AVE NE,,SEATTLE,WA,KING,981253162,20170929,2066438576
TOP SHELF CANNABIS,ACTIVE (ISSUED),417469,6.03153E+15,MARIJUANA RETAILER,4712 PACIFIC HWY,,BELLINGHAM,WA,WHATCOM,982269049,20171102,3603194102
GROW-TECH,ACTIVE (ISSUED),416822,6.03363E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2795 ROAD D NE,,MOSES LAKE,WA,GRANT,988379688,20180126,5095946333
NORTHWEST CANNABIS CONNECTION,ACTIVE (ISSUED),423492,6.03228E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,11522 CANYON RD E,,PUYALLUP,WA,PIERCE,983734360,20170713,2537209769
LAND OF LIZARDS,ACTIVE (ISSUED),412096,6.03341E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,485 STATE ROUTE 409,,CATHLAMET,WA,WAHKIAKUM,986120000,20170929,8084792546
OLY SMOKES,ACTIVE (ISSUED),416092,6.01877E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6503 DELPHI RD NW STE A,,OLYMPIA,WA,THURSTON,985122848,20171201,3609721229
FARMWEST 2,ACTIVE (ISSUED),415765,6.03263E+15,MARIJUANA PROCESSOR,18 RIVERVIEW RD B-2,,OMAK,WA,OKANOGAN,988419415,20180103,3609277967
QUALITY GREEN TREES,ACTIVE (ISSUED),413632,6.03355E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,26268 TWELVE TREES LN STE 140,STE 140,POULSBO,WA,KITSAP,983706402,20180604,2068513487
BANANO BUDS,ACTIVE (ISSUED),415732,6.03449E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,211 ROWLAND ROAD,,SEDRO WOOLLEY,WA,SKAGIT,982840000,20180621,3609412728
AUTREES NURSERY,ACTIVE (ISSUED),416175,6.0352E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,3171 GOLDIE RD BLDG E,,OAK HARBOR,WA,ISLAND,982772732,20180410,2062263222
WOW WEED,ACTIVE (ISSUED),413038,6.03356E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,100 DOW RD,,DALLESPORT,WA,KLICKITAT,986170677,20180331,5096076942
HYPEHERBALLY,ACTIVE (ISSUED),425498,6.03307E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,14702 HIGHWAY 99,,LYNNWOOD,WA,SNOHOMISH,980875522,20180619,4255829385
PURE MAGIC,ACTIVE (ISSUED),426765,6.03348E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,19211 SEAWAY ST SW,,ROCHESTER,WA,THURSTON,985799201,20180509,3603049548
MONKEY GRASS FARMS,ACTIVE (ISSUED),412619,6.03322E+15,MARIJUANA PROCESSOR,14 MONKEY GRASS RD STE F,STE F,OMAK,WA,OKANOGAN,988410000,20180420,5092644694
HARMONY FARMS,PENDING (ISSUED),415449,6.0335E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,8575 COMMERCE PL DR NE STE A,,LACEY,WA,THURSTON,985161328,20180510,3606288457
EAGLE TREE FARMS,PENDING (ISSUED),422190,6.02987E+15,MARIJUANA PROCESSOR,1410 IOWA ST STE 101,,BELLINGHAM,WA,WHATCOM,982294710,20180605,3603935507
HIGH SOCIETY,ACTIVE (ISSUED),414539,6.03403E+15,MARIJUANA RETAILER,5309 GUIDE MERIDIAN RD SUITE A,,BELLINGHAM,WA,WHATCOM,982260000,20180612,3603063257
502 DISTRIBUTION,ACTIVE (ISSUED),426350,6.03356E+15,MARIJUANA PROCESSOR,2940 S M ST UNIT E,,TACOMA,WA,PIERCE,984098241,20180409,2065521492
MARIJUANA DEPOT,ACTIVE (ISSUED),422027,6.03402E+15,MARIJUANA RETAILER,404 AUBURN WAY S STE 100,SUITE 100,AUBURN,WA,KING,980025418,20180522,2063917365
ORIGINS CANNABIS,ACTIVE (ISSUED),423402,6.03562E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4800 40TH AVE SW STE B,STE B,SEATTLE,WA,KING,981164506,20180126,2535072167
RENGAR LLC,ACTIVE (ISSUED),422811,6.03604E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,10900 MUKILTEO SPEEDWAY,,MUKILTEO,WA,SNOHOMISH,982750000,20180509,2083403970
BE KIND BUDS,ACTIVE (ISSUED),416353,6.03299E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1199 W CUNNINGHAM RD  STE P2,STE P2,OTHELLO,WA,ADAMS,983449004,20180523,2067796839
OLYMPUS GROUP,PENDING (ISSUED),424365,6.03471E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,43001 N GRIFFIN RD STE B,,GRANDVIEW,WA,BENTON,989309041,20180604,2539851520
CELSS MICRO FARMS,ACTIVE (ISSUED),417394,6.03306E+15,MARIJUANA PRODUCER TIER 1,68705 N 132 PR NE,,BENTON CITY,WA,BENTON,993208761,20180518,5095393998
FREEDOM MARKET,ACTIVE (ISSUED),414280,6.0341E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,820A WESTSIDE HWY,,KELSO,WA,COWLITZ,986264355,20180621,3603550682
CASCADE CANNABIS RESOURCE,PENDING (ISSUED),415912,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2310 WEST SUTTON RD STE D1,,OTHELLO,WA,ADAMS,993440000,20180530,2538613367
CRESCENT VALLEY FARMS,ACTIVE (ISSUED),417205,6.02696E+15,MARIJUANA PROCESSOR,830 HWY 7  STE C,STE C,TONASKET,WA,OKANOGAN,988550000,20180419,2538584831
SOG,ACTIVE (ISSUED),417324,6.03399E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,35702 NW TOENJES RD,STE 3,WOODLAND,WA,CLARK,986743721,20180412,5094277392
CANNABIS PROVISIONS EAST,ACTIVE (ISSUED),423542,6.03185E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,831 N MILLER ST,,WENATCHEE,WA,CHELAN,988012046,20180317,2533347082
VAN HARTEN,ACTIVE (ISSUED),417660,6.03318E+15,MARIJUANA PROCESSOR,318 MILL ST STE 710,SUITE 710,SHELTON,WA,MASON,985840000,20180515,3605204025
YOGAS GREEN TIKI OF BELLINGHAM,ACTIVE (ISSUED),422443,6.04095E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,20917 NE 72ND AVE STE 102,STE 102,BATTLE GROUND,WA,CLARK,986045227,20180503,3607106475
CIRCANNA,PENDING (ISSUED),413174,6.03354E+15,MARIJUANA PROCESSOR,2905 4TH AVE S,,SEATTLE,WA,KING,981341914,20180404,5103339633
PROHIBITION BRANDS,ACTIVE (ISSUED),425450,6.0333E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,19805 74TH AVE NE,,ARLINGTON,WA,SNOHOMISH,982235021,20180605,2066010095
CANNABIS NORTHWEST,ACTIVE (ISSUED),412738,6.04113E+15,MARIJUANA PROCESSOR,9300 KIMMIE ST SW STE A,,TUMWATER,WA,THURSTON,985129119,20180425,0
EDEN CANNABIS,ACTIVE (ISSUED),417206,6.02909E+15,MARIJUANA PRODUCER TIER 1,18791 CEDARDALE RD STE A,,MOUNT VERNON,WA,SKAGIT,982740000,20180414,4253013049
WAVE,ACTIVE (ISSUED),417008,6.03356E+15,MARIJUANA PROCESSOR,5609 4TH AVE S,,SEATTLE,WA,KING,981082422,20180514,4254920604
THC PARTNERS,ACTIVE (ISSUED),415987,6.03357E+15,MARIJUANA PROCESSOR,9369 8TH AVE S,,SEATTLE,WA,KING,981084624,20180403,2066597730
GREEN HARVEST CANNABIS COMPANY,PENDING (ISSUED),413339,6.03156E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,95 US HWY 101 STE A,,HOQUIAM,WA,GRAYS HARBOR,985500000,20180604,3605892947
FOURTY YEAR BUD,ACTIVE (ISSUED),412335,6.02626E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,35151 NE AMMETER ROAD #A,,WASHOUGAL,WA,CLARK,986718448,20180313,3608352745
GRAVITY THIEVES,PENDING (ISSUED),421102,6.0358E+15,MARIJUANA PROCESSOR,2916 STATE ST STE 302,,EVERETT,WA,SNOHOMISH,982013842,20180621,3608179001
ACTION VENTURES,ACTIVE (ISSUED),412763,6.0348E+15,MARIJUANA PRODUCER TIER 3,13055 RD 2 NE UNIT 2,UNIT 2,MOSES LAKE,WA,GRANT,988370000,20180320,2066975508
ORCAS ISLAND CANNABIS,ACTIVE (ISSUED),420390,6.03304E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1533 MT BAKER RD,,EASTSOUND,WA,SAN JUAN,982450000,20180620,3603175704
2020 SOLUTIONS SPRAGUE,ACTIVE (ISSUED),422701,6.03601E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,209 E 4TH ST SUITE B,,SPRAGUE,WA,LINCOLN,990320000,20180329,2534051918
RAVENS KEEP,ACTIVE (ISSUED),425795,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,"421 CHESAW RD LOT 1, UNIT A",UNIT A,OROVILLE,WA,OKANOGAN,988449641,20180619,5099997543
SEATTLE CANNABIS CO.,ACTIVE (ISSUED),426199,6.03336E+15,MARIJUANA RETAILER,7262 RAINIER AVE S STE B,,SEATTLE,WA,KING,981183864,20180605,2064201042
HONOR ROLE,ACTIVE (ISSUED),412737,6.03456E+15,MARIJUANA PRODUCER TIER 2,9011 W NEWKIRK RD STE A,,SPOKANE,WA,SPOKANE,992249353,20180614,4254441930
YIELD FARMS,PENDING (ISSUED),412337,6.03508E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3911 E TRENT AVE,,SPOKANE,WA,SPOKANE,992024424,20180612,5092413577
420 ELMA ON MAIN,ACTIVE (ISSUED),426678,6.03579E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,306 W MAIN ST,,ELMA,WA,GRAYS HARBOR,985410000,20180423,3605616972
DANDELION FARMS,ACTIVE (ISSUED),417155,6.03454E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4807 N REBECCA ST STE A,,SPOKANE,WA,SPOKANE,992176751,20180611,5092794729
OPTIMIZED PROPOGATION LIMITED LIABILITY COMPA,PENDING (ISSUED),416425,6.03357E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,18791 CEDARDALE RD STE B,,MOUNT VERNON,WA,SKAGIT,982747592,20180621,4254197415
MFUSED,ACTIVE (ISSUED),415766,6.04012E+15,MARIJUANA PROCESSOR,6527 4TH AVE S,,SEATTLE,WA,KING,981083217,20180525,4256799399
RON JOHNSON,ACTIVE (ISSUED),423700,6.03362E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,186 CHEROKEE RD,STE B,OMAK,WA,OKANOGAN,988419476,20180503,3603573466
EVERGREEN MEADOWS,PENDING (ISSUED),425605,6.03217E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,208 E PINE ST,,SHELTON,WA,MASON,985841418,20180616,2063513193
VAJRADHARA PRODUCTS LLC,PENDING (ISSUED),416669,6.03574E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,221 BRUENN AVE,,BREMERTON,WA,KITSAP,983123107,20180615,2063244872
GREEN LEAF,ACTIVE (ISSUED),413886,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4220 MERIDIAN ST STE 102,,BELLINGHAM,WA,WHATCOM,982269153,20180625,3605262198
PURFORM LABS DISTRIBUTION,PENDING (ISSUED),416670,6.04026E+15,MARIJUANA PROCESSOR,18001 E EUCLID AVE STE D,,SPOKANE VALLEY,WA,SPOKANE,992160000,20180405,5099997517
SATORI,PENDING (ISSUED),422525,6.03565E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2840 E HWY 101,,PORT ANGELES,WA,CLALLAM,983629080,20180622,5099990148
SATORI,ACTIVE (ISSUED),417114,6.03405E+15,MARIJUANA RETAILER,1330 SE BISHOP BLVD,,PULLMAN,WA,WHITMAN,991630000,20180323,5099947051
NXNW RETAIL LLC/CANNABIS & GLASS,ACTIVE (ISSUED),82587,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,9403 E TRENT AVE,,MILLWOOD,WA,SPOKANE,992064218,20180601,5093096974
WELWATER,PENDING (ISSUED),412060,6.03177E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,11700 NE 154TH ST STE B,,BRUSH PRAIRIE,WA,CLARK,986069572,20180505,3609097970
PACIFIC NORTHWEST PRODUCER,ACTIVE (ISSUED),412736,6.03354E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,28011 NE 4TH PL,,REDMOND,WA,KING,980539000,20180322,4252223572
THE OL' POT SHOPPE,ACTIVE (ISSUED),424647,6.03569E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,RETIAL TITLE CERTIFICATE,,YAKIMA,WA,YAKIMA,989088929,20180123,5094065852
NIMBIN FARM,ACTIVE (ISSUED),415658,6.03189E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,10859 1ST AVE S STE A,,SEATTLE,WA,KING,981681309,20180613,2532617600
FIVE LEAVES,PENDING (ISSUED),415826,6.03354E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,234805 E STRAIGHT BANK RD #B,#B,FINLEY,WA,BENTON,993370000,20180619,5092949936
DA VINCI,ACTIVE (ISSUED),425401,6.03335E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7220 201ST ST NE,,ARLINGTON,WA,SNOHOMISH,982237477,20180626,4253756344
NEW VANSTERDAM,PENDING (ISSUED),413732,6.03352E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6515 E MILL PLAIN BLVD,,VANCOUVER,WA,CLARK,986617455,20180327,3605974739
BUD HUT,ACTIVE (ISSUED),421568,6.03548E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1717 NE ANDRESEN RD,,VANCOUVER,WA,CLARK,986616890,20180529,4257896996
FIVE STAR CANNABIS,ACTIVE (ISSUED),412016,6.04053E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,10517 W BALMER RD STE A,,SPOKANE,WA,SPOKANE,992249153,20180314,5094817925
"THE FOUR TWENTY COLLECTION, LTD",ACTIVE (ISSUED),426818,6.03294E+15,MARIJUANA PROCESSOR,10847 1ST AVE S STE B,,SEATTLE,WA,KING,981681309,20180518,4254200229
NORTHWEST CANNABIS SOLUTIONS,ACTIVE (ISSUED),412879,6.03307E+15,MARIJUANA PRODUCER TIER 3,9631 LATHROP INDUSTRIAL DR SW,,TUMWATER,WA,THURSTON,985120000,20180406,3604644199
NW GREEN ACRES,PENDING (ISSUED),412677,6.04057E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3406 OBRIEN RD SITE B,,PORT ANGELES,WA,CLALLAM,983627429,20180608,3606703825
CONSCIOUS CANNABIS,ACTIVE (ISSUED),416008,6.03359E+15,MARIJUANA PROCESSOR,5805 E SHARP AVE  STE C1,"STE C1,C2,C3,C201,B101",SPOKANE VALLEY,WA,SPOKANE,992120955,20180418,5092792409
LIT FUSE NURSERY,PENDING (ISSUED),417513,6.03303E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,9444 LUNDEEN RD SW STE A,,ROCHESTER,WA,THURSTON,985799008,20180616,3602806189
PROHIBITION GOLD,ACTIVE (ISSUED),416699,6.03355E+15,MARIJUANA PROCESSOR,7510 5TH AVE S,SUITE B,SEATTLE,WA,KING,981080000,20180307,2066836707
J & K CANNABIS,ACTIVE (ISSUED),355804,6.03089E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,RETAIL TITLE CERTIFICATE,,LAKEWOOD,WA,PIERCE,984991030,20170912,2534684440
FREEDOM MARKET ILWACO,PENDING (ISSUED),421757,6.04052E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,133 HOWERTON AVE SE STE B,,ILWACO,WA,PACIFIC,986249088,20180608,3607036090
THE TOP SHELF,ACTIVE (ISSUED),414716,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1305 S HAYFORD RD STE A,,AIRWAY HEIGHTS,WA,SPOKANE,992245276,20180313,5099444350
VIRGINIA COMPANY,ACTIVE (ISSUED),414038,6.03286E+15,MARIJUANA PROCESSOR,3615 E TRENT AVE,,SPOKANE,WA,SPOKANE,992024418,20180430,5095341167
1492 PRODUCTIONS,ACTIVE (ISSUED),413280,6.03352E+15,MARIJUANA PRODUCER TIER 2,2845 OCEAN AVE #A,,RAYMOND,WA,PACIFIC,985774909,20180618,7863766010
HERBAN GOODS,ACTIVE (ISSUED),419456,6.0409E+15,MARIJUANA PROCESSOR,1721 W VALLEY HWY  STE 7 & 8,STE 7 & 8,AUBURN,WA,KING,980011658,20170713,2064369336
INLAND DESERT CONCENTRATES,ACTIVE (ISSUED),417017,6.03507E+15,MARIJUANA PROCESSOR,65710 N HYSLER RD  STE A,STE A,BENTON CITY,WA,BENTON,993207620,20180619,2062804445
VIRIDIS REMEDIUM,ACTIVE (ISSUED),415853,6.03356E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,21418 SE 436TH ST STE A,,ENUMCLAW,WA,KING,980229041,20180531,2066193388
#HASHTAG,ACTIVE (ISSUED),414884,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3540 STONE WAY N,,SEATTLE,WA,KING,981038924,20180405,3608184000
MJ PHARMS,ACTIVE (ISSUED),413443,6.04008E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,23 EAGLE ROCK RD SUITE 1,,TONASKET,WA,OKANOGAN,988559559,20180612,5094861781
SWEET DREAM GARDENS,ACTIVE (ISSUED),416531,6.03361E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,234805 E STRAIGHT BANK RD,STE G,KENNEWICK,WA,BENTON,993370000,20180611,3602702562
R AND L,ACTIVE (ISSUED),417060,6.03363E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,7777 POSSESSION RD  STE A,STE A,CLINTON,WA,ISLAND,982368944,20180426,2064620036
CANNASOL FARMS,ACTIVE (ISSUED),425024,6.03324E+15,MARIJUANA TRANSPORTATION,99 GREENACRES RD LOT G,,RIVERSIDE,WA,OKANOGAN,988499625,20180424,5095578755
FORBIDDEN FARMS,ACTIVE (ISSUED),412274,6.03345E+15,MARIJUANA PROCESSOR,1920 PORT OF TACOMA RD,,TACOMA,WA,PIERCE,984213707,20180417,2538203904
ORCHARDVIEW WEST,ACTIVE (ISSUED),413120,6.02631E+15,MARIJUANA PROCESSOR,7510 5TH AVE SOUTH  STE C,STE C,SEATTLE,WA,KING,981084114,20180424,4254431987
ICON GARDENS,ACTIVE (ISSUED),426432,6.04174E+15,MARIJUANA PROCESSOR,3005 CHANDLER ST STE C,,TACOMA,WA,PIERCE,984097932,20180312,5166954788
WASHINGTON INDOOR,ACTIVE (ISSUED),417053,6.03408E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4030 99TH AVE NE,,LAKE STEVENS,WA,SNOHOMISH,982050000,20180526,3603488935
THE PLANT FACTORY,ACTIVE (ISSUED),416827,6.03394E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,41 RUMSEY RD,,NEWPORT,WA,PEND OREILLE,991569023,20180510,4256812285
TROVE MEDICAL AND RECREATIONAL,ACTIVE (ISSUED),414871,6.03357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,218 N SAMISH WAY STE 103,,BELLINGHAM,WA,WHATCOM,982250000,20180524,3603933459
AUNT DONNA'S,ACTIVE (ISSUED),412851,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1725 OCEAN AVE BUILDING 5A,,RAYMOND,WA,PACIFIC,985779596,20180514,3606600438
GARDENS ROYALE,ACTIVE (ISSUED),416700,6.03355E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3625 E FERRY ST,,SPOKANE,WA,SPOKANE,992024629,20180404,5093892024
CANABANATCHEE,ACTIVE (ISSUED),425081,6.03428E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,23095 BAIRD SPRINGS RD #B,,QUINCY,WA,GRANT,988489637,20180607,5096791541
LUCKY DEVIL FARMS,ACTIVE (ISSUED),414040,6.03314E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3303 S 35TH ST  STE B-6,STE B-6,TACOMA,WA,PIERCE,984094701,20180523,3609708932
SAGE SHOP,ACTIVE (ISSUED),426888,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,309 N MAIN ST,,OMAK,WA,OKANOGAN,988419745,20180604,5093225286
CANCADIA,ACTIVE (ISSUED),412751,6.03348E+15,MARIJUANA PROCESSOR,2700 4TH AVE S  STE 100A,STE 100A,SEATTLE,WA,KING,981342207,20180516,2069196755
FORBIDDEN CANNABIS LLC,ACTIVE (ISSUED),414803,6.03604E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2358 ELMWAY,,OKANOGAN,WA,OKANOGAN,988400000,20180409,2532241442
HELLA LOUD,ACTIVE (ISSUED),413173,6.03354E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2670 CRITES ST SW SUITE A,,TUMWATER,WA,THURSTON,985126137,20180502,7073121105
PROPRIETARY PLANT VARIETIES,ACTIVE (ISSUED),417279,6.03359E+15,MARIJUANA PROCESSOR,30078 HIGHWAY 97 STE B,STE B,RIVERSIDE,WA,OKANOGAN,988490000,20180327,2069092962
ORIGINS CANNABIS,ACTIVE (ISSUED),417949,6.03562E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,9823 15TH AVE SW UNIT D1,UNIT D1,SEATTLE,WA,KING,981062847,20180514,2069223954
CASUAL CANNABIS,ACTIVE (ISSUED),416032,6.03493E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,3332 MT BAKER HWY STE A,,BELLINGHAM,WA,WHATCOM,982267500,20180403,3602011127
MOON BAY CANNABIS CO.,ACTIVE (ISSUED),416763,6.03497E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,18606 N HIGHWAY 21,STE B,CURLEW,WA,FERRY,991189651,20180417,5097792000
EVERGREEN GROPRO,PENDING (ISSUED),416412,6.03355E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,50 W WESTFIELD CT UNIT C,,SHELTON,WA,MASON,985840000,20180623,3602804085
EMERALD CITY ORGANICS,PENDING (ISSUED),417411,6.0345E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,3303 S 35TH ST STE A-2,STE A-2,TACOMA,WA,PIERCE,984094723,20180426,2536401935
ROYALE LEISURE INDUSTRIES,ACTIVE (ISSUED),414474,6.0336E+15,MARIJUANA PROCESSOR,2724 6TH AVE S STE 203,,SEATTLE,WA,KING,981342102,20180503,2069929794
MOTHER NATURE,ACTIVE (ISSUED),426518,6.02581E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,15505 N WEBBER CANYON RD STE H,,BENTON CITY,WA,BENTON,993206508,20180327,5099109010
BAYSHORE CANNABIS CO,ACTIVE (ISSUED),415127,6.04158E+15,MARIJUANA RETAILER,3831 HIGHWAY 3,,SHELTON,WA,MASON,985840000,20180618,2062344663
PHAT N STICKY,ACTIVE (ISSUED),412217,6.03333E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2611 N WOODRUFF RD STE A,,SPOKANE VALLEY,WA,SPOKANE,992064138,20180410,5099516962
